feature,importance,fold
EXT_SOURCE_2,1803,6
EXT_SOURCE_3,1344,6
EXT_SOURCE_1,1326,6
DAYS_EMPLOYED,632,6
CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,447,6
INS_PAYMENT_PERC_MEAN,305,6
INS_DPD_MEAN,278,6
PREV_NAME_CONTRACT_STATUS_Refused_MEAN,255,6
CODE_GENDER,214,6
CC_CNT_DRAWINGS_ATM_CURRENT_VAR,202,6
INS_AMT_PAYMENT_SUM,169,6
DAYS_EMPLOYED_PERC,155,6
ACT_DAYS_CREDIT_MAX,155,6
POS_MONTHS_BALANCE_SIZE,144,6
POS_SK_DPD_DEF_MEAN,139,6
DAYS_BIRTH,122,6
PREV_NAME_CONTRACT_STATUS_Approved_MEAN,108,6
REF_APP_CREDIT_PERC_MIN,104,6
APR_AMT_DOWN_PAYMENT_MAX,100,6
NAME_EDUCATION_TYPE_Higher education,91,6
CC_CNT_DRAWINGS_CURRENT_VAR,88,6
PREV_APP_CREDIT_PERC_MEAN,85,6
BURO_CREDIT_TYPE_Microloan_MEAN,83,6
INS_DAYS_ENTRY_PAYMENT_SUM,81,6
NAME_EDUCATION_TYPE_Secondary / secondary special,79,6
AMT_ANNUITY,78,6
PREV_NAME_PRODUCT_TYPE_walk-in_MEAN,75,6
BURO_DAYS_CREDIT_MEAN,73,6
INS_PAYMENT_DIFF_MEAN,70,6
CC_CNT_DRAWINGS_CURRENT_MEAN,68,6
ANNUITY_INCOME_PERC,67,6
INS_AMT_PAYMENT_MEAN,64,6
INS_AMT_PAYMENT_MIN,59,6
REF_DAYS_DECISION_MAX,58,6
INS_DBD_SUM,54,6
CLS_AMT_CREDIT_SUM_MAX,53,6
PREV_CNT_PAYMENT_MEAN,51,6
PREV_CODE_REJECT_REASON_XAP_MEAN,50,6
BURO_CREDIT_ACTIVE_Closed_MEAN,49,6
PREV_APP_CREDIT_PERC_MAX,48,6
FLAG_DOCUMENT_3,47,6
CC_AMT_BALANCE_MIN,47,6
PREV_DAYS_DECISION_MIN,45,6
ACT_DAYS_CREDIT_ENDDATE_MEAN,45,6
REF_DAYS_DECISION_MEAN,42,6
PREV_CODE_REJECT_REASON_SCOFR_MEAN,41,6
APR_AMT_APPLICATION_MAX,41,6
